钢琴,gang1qin2
录音机,lu4yin1ji1
音响,yin1xiang3
被子,bei4zi
枕头,zhen3tou
药,yao4
梳子,shu1zi
盆,pen2
肥皂,fei2zao4
香皂,xiang1zao4
牙刷,ya2shua1
毛巾,mao2jin1
手纸,shou3zhi3
画,hua4
纸,zhi3
剪刀,jian3dao1
绳,sheng2 shengr
眼镜,yan3jing4
报纸,bao4zhi3
钥匙,yao4shi
钱,qian2
包,bao1
书包,shu1bao1
钱包,qian2bao1
口袋,kou3dai4
扇子,shan4zi
抹布,ma1bu4
盒子,he2zi
篮子,lan2zi
桶,tong3
刷子,shua1zi
笤帚,tiao2zhou
拖把,tuo2ba3
墩布,dun1bu4
垃圾,la1ji1
簸箕,bo4ji
锤子,chui2zi
钉子,ding4zi
木头,mu4tou
东西,dong1xi
******,
10.玩具和娱乐用品,
球,qiu2
书,shu1
娃娃,wa2wa
笔,bi3
气球,qi4qiu2
枪,qiang1
积木,ji1mu4
玩具,wan2ju4
故事,gu4shi4
风筝,feng1zheng1
歌,ge1
铃铛,ling2dang ling2dang1
铅笔,qian1bi3
蜡笔,la4bi3
车轮,che1lun2
轱辘,gu2lu
游戏,you2xi4
棋子,qi2zi3
礼物,li3wu4
******,
11.衣服,
帽子,mao4zi
手套,shou3tao4
围巾,wei2jin1
手绢,shou3juan4
围嘴,wei3zui3
项链,xiang4lian4
衣服,yi1fu
衣裳,yi1shang
大衣,da4yi1
外套,wai4tao4
棉袄,mian2ao3
夹克,jia1ke4 jia2ke4 
毛衣,mao2yi1
背心,bei4xin1
上衣,shang4yi1
裤兜,ku4dou1
扣子,kou4zi
拉锁,la1suo3
拉链,la1lian4
袖子,xiu4zi
裤子,ku4zi
毛裤,mao2ku4
裤衩,ku4cha3 ku4cha4
裙子,qun2zi
皮带,pi2dai4
鞋,xie2
拖鞋,tuo1xie2
皮鞋,pi1xie2
凉鞋,liang2xie2
球鞋,qiu2xie2
旅游鞋,lv3you2xie2
******,
12.家具、屋子,
楼梯,lou2ti1
门,men2
窗户,chuang1hu chuang1hu4
床,chuang2
桌子,zhuo1zi
饭桌,fan4zhuo1
尿盆,niao4pen2
镜子,jing4zi
凳子,deng4zi
椅子,yi3zi
沙发,sha1fa1
茶几,cha2ji1
电视,dian4shi4
冰箱,bing1xiang1
炉子,lu2zi
灶,zao4
洗衣机,xi3yi1ji1
屋子,wu1zi
柜子,gui4zi
抽屉,chou1ti4
澡盆,zao3pen2
厕所,ce4suo3
水池,shui3chi2
水龙头,shui3long2tou2
水管,shui3guan3
厨房,chu2fang2
暖水瓶,nuan3shui3ping2
暖壶,nuan3hu2
煤气,mei2qi4
空调,kong1tiao2
微波炉,wei1bo1lu2
阳台,yang2tai2
电梯,dian4ti1
******,
13.外面的东西,
花,hua1
树,shu4
叶子,ye4zi
树叶,shu4ye4
树枝,shu4zhi1
草,cao3
土,tu3
水,shui3
雨,yu3
雪,xue3
风,feng1
石头,shi2tou
山,shan1
棍子,gun4zi
沙子,sha1zi
铲子,chan3zi
梯子,ti1zi
滑梯,hua2ti1
转椅,zhuan4yi3 zhuan3yi3
秋千,qiu1qian1
蹦蹦床,beng4beng4chuang2
太阳,tai4yang tai4yang2
月亮,yue4liang yue4liang4
星星,xing1xing xing1xing1
天,tian1
天空,tian1kong1
云,yun2
云彩,yun2cai yun2cai3
房顶,wu1ding3
街道,jie1dao4
大街,da4jie1
路,lu4
红绿灯,hong2lv4deng1
伞,san3
雨伞,yu3san3
雪人,xue3ren2
游泳池,you2yong3chi2 yong3chi2
******,
14.车,
车,che1
飞机,fei1ji1
火车,huo3che1
船,chuan2
摩托车,mo2tuo1che1 mo2tuo
小轿车,xiao3jiao4che1 xiao3qi4che1
自行车,zi4xing2che1
公共汽车,gong1gong4qi4che1 gong1jiao1che1
卡车,ka3che1
出租车,chu1zu1che1 di1shi4
吊车,diao4che1
三轮车,san3lun2che san3lunr
吉普车,ji2pu3che1 ji2pu3
救护车,jiu4hu4che1
******,
15.外面的地方,
家,jia1
外头,wai4tou
外面,wai4mian
单位,dan1wei4
房子,fang2zi
楼房,lou2fang2
公园,gong1yuan2
动物园,dong4wu4yuan2
花园,hua1yuan2
肯德基,ken3de2ji1
麦当劳,mai4dang1lao2
医院,yi1yuan4
商店,shang1dian4
幼儿园,you4er2yuan2
托儿所,tuo1er2suo3
学校,xue3xiao4
天安门,tian1an1men2
中国,zhong1guo2
游乐园,you2le4yuan2
超市,chao1shi4
******,
16.方向词,
******,
17.数量词,
******,
18.代词,
******,
19.量词,
******,
20.疑问词,
******,
21.句尾虚词,
******,
22.时间词,
******,
23.助词,
******,
24.连词,
******,
